,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,Attendance,Time
148,1993-11-06,Leeds,Chelsea,4.0,1.0,H,,,,,,,
149,1993-11-06,Ipswich,Sheffield Weds,1.0,4.0,A,,,,,,,
150,1993-11-06,Coventry,Everton,2.0,1.0,H,,,,,,,
151,1993-11-06,Arsenal,Aston Villa,1.0,2.0,A,,,,,,,
152,1993-11-07,Man City,Man United,2.0,3.0,A,,,,,,,
153,1993-11-08,Oldham,Newcastle,1.0,3.0,A,,,,,,,
154,1993-11-20,West Ham,Oldham,2.0,0.0,H,,,,,,,
155,1993-11-20,Tottenham,Leeds,1.0,1.0,D,,,,,,,
156,1993-11-20,Swindon,Ipswich,2.0,2.0,D,,,,,,,
157,1993-11-20,Sheffield Weds,Coventry,0.0,0.0,D,,,,,,,
158,1993-11-20,Norwich,Man City,1.0,1.0,D,,,,,,,
159,1993-11-20,Everton,QPR,0.0,3.0,A,,,,,,,
160,1993-11-20,Chelsea,Arsenal,0.0,2.0,A,,,,,,,
161,1993-11-20,Blackburn,Southampton,2.0,0.0,H,,,,,,,
162,1993-11-20,Aston Villa,Sheffield United,1.0,0.0,H,,,,,,,
163,1993-11-20,Man United,Wimbledon,3.0,1.0,H,,,,,,,
164,1993-11-21,Newcastle,Liverpool,3.0,0.0,H,,,,,,,
165,1993-11-22,Chelsea,Man City,0.0,0.0,D,,,,,,,
166,1993-11-23,Blackburn,Coventry,2.0,1.0,H,,,,,,,
167,1993-11-23,Everton,Leeds,1.0,1.0,D,,,,,,,
168,1993-11-24,Tottenham,Wimbledon,1.0,1.0,D,,,,,,,
169,1993-11-24,West Ham,Arsenal,0.0,0.0,D,,,,,,,
170,1993-11-24,Sheffield Weds,Oldham,3.0,0.0,H,,,,,,,
171,1993-11-24,Swindon,QPR,1.0,0.0,H,,,,,,,
172,1993-11-24,Man United,Ipswich,0.0,0.0,D,,,,,,,
173,1993-11-24,Aston Villa,Southampton,0.0,2.0,A,,,,,,,
174,1993-11-24,Newcastle,Sheffield United,4.0,0.0,H,,,,,,,
